"Site","Line","TotalLine","WinOrLose","Fun","ScoreOff","FirstDownOff","ThirdDownPctOff","RushAttOff","RushYdsOff","PassAttOff","PassCompOff","PassYdsOff","PassIntOff","FumblesOff","SackNumOff","SackYdsOff","PenYdsOff","TimePossOff","PuntAvgOff","ScoreDef","FirstDownDef","ThirdDownPctDef","RushAttDef","RushYdsDef","PassAttDef","PassCompDef","PassYdsDef","PassIntDef","FumblesDef","SackNumDef","SackYdsDef","PenYdsDef","TimePossDef"
"V",-7.5,45,"WIN","OKAY",23.125,18.4375,36.5,26,115.8125,35.4375,19,245.3125,1.0625,0.5,1.625,10.8125,60.6875,29.42,44.79375,23.5625,20.375,40.1875,24.1875,86.75,39.25,25.375,278.75,1,0.5625,2.125,16,50.8125,30.230625
"H",3,43.5,"LOSE","FUN",21.6875,16.5625,38.25,26.6875,116.25,32.3125,18.875,195.6875,0.875,0.6875,2.625,17.0625,55.5,28.18125,46.91875,27.375,21.5625,36.5625,28.25,120.5,36.375,23.375,244.4375,1.3125,0.375,2.5625,16.4375,46.4375,31.503125
"H",-1,49.5,"WIN","FUN",25.9375,21.5,35.3125,30.125,160.125,29.75,19.25,221.3125,0.625,0.4375,2.125,15.5,57.1875,30.06625,42.175,24.75,21.625,44.1875,24.9375,109.4375,38.5,24.5,281.5625,1.125,0.625,2.1875,15.5625,46.8125,29.53375
"H",16.5,50,"LOSE","OKAY",32.4375,24,45.6875,29.9375,112.125,38.125,26,301.75,0.5,0.9375,1.1875,7.375,53.3125,31.234375,NA,18.3125,18.5625,25.25,24.375,87.3125,37.125,21.0625,216.625,1.3125,0.5,3.1875,22.0625,56,28.365625
"V",-16.5,50,"WIN","OKAY",18.6875,18.625,36.1875,25.5625,109.3125,36.75,22.125,234.375,1.0625,0.625,1.75,13.4375,58.9375,29.835,47.55,26,18.625,38.5,26.625,110.1875,32.75,21.75,232.5625,0.6875,0.5,2,14.1875,57.9375,29.79
"V",4,43.5,"LOSE","BORING",23.1875,19.125,34.625,30.625,148.3125,27.375,17.375,210.3125,0.6875,0.5,2.4375,14.625,64.125,30.42,48.4375,18.25,18.0625,31.375,26.9375,103,33.6875,19.625,194.3125,0.875,0.625,2.5,17,46.375,29.24
"H",-4,43.5,"WIN","BORING",18.5625,18.625,30,24.625,99.875,37.75,22.4375,238.9375,0.8125,0.5,1.8125,11.9375,60.375,28.606875,45.84375,22.25,20.3125,39.3125,27.3125,114.5625,34.125,23.0625,234.5,0.8125,0.375,3.4375,21.375,48.9375,31.053125
"V",-2.5,40,"LOSE","OKAY",14.9375,16.3125,25.125,20.75,76,39.75,22,199.25,1.5,0.6875,3.875,24.8125,49.8125,28.653125,45.95,24.75,18.25,33.375,30.75,130.0625,31.25,17.9375,217.875,1.375,0.5625,1.9375,11.75,49.0625,30.946875
"H",3,50,"WIN","FUN",24.75,20.9375,42.375,22.5625,87.3125,39.1875,26.625,288.1875,0.9375,0.375,1.8125,14,27.9375,30.37375,47.3,20.3125,18.4375,39.3125,24.75,113.875,35.5,22.0625,258.9375,1,0.5,1.8125,11.875,39.125,29.22625
"V",4,45,"WIN","FUN",23.1875,18.875,37.875,28.875,111.1875,35.375,20.8125,220.5,0.6875,0.3125,2.5625,16.8125,67.375,28.6425,48.3,21.3125,18.875,34.3125,28.4375,115.875,35.0625,21,224.375,0.6875,0.6875,2.5,17,59.625,30.9825
"H",-4,45,"LOSE","BORING",20.125,19,36.4375,27.375,130.5,33.3125,20.1875,208.4375,0.9375,1.125,2.375,12.6875,58.0625,28.833125,43.6875,26.8125,22.3125,43.1875,31.5,156.0625,33.9375,18.9375,219.6875,0.75,0.5625,2.25,12.375,50.1875,30.766875
"V",-2.5,49.5,"WIN","FUN",24.75,18.125,37.0625,28.9375,123.375,30.8125,19.125,194.8125,0.8125,0.625,2.25,14.5,48.25,31.1975,41.93125,18.8125,18.1875,38.375,25.1875,104.0625,36.4375,22.125,231.0625,1.4375,1.4375,2,13.9375,47.4375,28.4025
"V",4.5,42.5,"WIN","BORING",23.8125,17.9375,36.625,26.75,107.1875,34.375,21.25,217.3125,1,0.75,2.4375,11.6875,55.8125,30.255625,46.63125,17.625,17.9375,34,26.0625,97.3125,35.625,21.4375,206.75,1.125,1.0625,2.875,19.875,44.3125,29.344375
"H",-4.5,42.5,"LOSE","OKAY",18.25,17.75,29.4375,24.25,96.625,37.25,21.375,222,1.125,0.5,2.625,18.3125,59.1875,28.238125,41.88125,22.3125,21.1875,39.6875,28.625,111.4375,36.9375,23.375,235.1875,0.875,0.8125,2.5625,16.3125,57.625,31.386875
"V",1.5,48,"WIN","OKAY",25.75,22,41.25,22.6875,84.5,41.5625,27.9375,291.3125,1.0625,0.625,2.1875,16.3125,47.125,31.013125,44.74375,25.0625,20.4375,40.1875,25.4375,116.4375,34.875,21.9375,256.0625,0.5625,0.6875,2.5,14.8125,45.4375,28.586875
"H",11.5,59,"LOSE","BORING",33.1875,24.4375,47,30.8125,118.5625,37.1875,26.375,305.25,0.5,1,1.0625,6.625,51.125,31.674375,NA,17.6875,17.9375,24.75,23.3125,80.875,37.1875,21.3125,217.1875,1.25,0.4375,3.3125,23.125,56.5,27.925625
"H",2.5,49.5,"LOSE","OKAY",22.9375,23.1875,40.625,24.25,95.6875,45.375,26.75,308.3125,0.9375,1.0625,1.6875,11.9375,63.6875,30.9575,42.6625,25.75,19.625,34.625,26.0625,119.8125,35.25,22.0625,225.1875,1,0.3125,2.0625,14.25,47.9375,28.6425
"H",-2,41,"WIN","FUN",24.875,21.25,35.125,29.375,128.625,36.625,23.5,242.25,1,0.1875,2,16.0625,58.1875,32.02375,46.7875,23.1875,17.9375,35.125,26.25,101.9375,34.6875,18.75,220.0625,0.8125,0.6875,2.6875,15.5625,53.1875,27.57625
"V",9.5,42.5,"LOSE","BORING",22.75,22.625,42.4375,28.5625,114.9375,37.4375,20.9375,246.6875,0.9375,0.4375,2.75,15.25,42.4375,30.87375,46.8,22,20,38.25,26.25,137.0625,33.375,20.6875,233.1875,0.875,0.25,2.125,12.4375,67.9375,28.736875
"H",-9.5,42.5,"WIN","BORING",14.4375,16.6875,29.25,21.5,72.625,38.875,21.75,219.5,1.3125,0.5,3.6875,23.5,58.5625,27.555,46.675,29.125,22.1875,39.125,33.5,143.5,32.125,20.625,229.125,0.75,0.75,1.5,9.125,42.3125,32.045
"H",4.5,44,"LOSE","BORING",13.375,16.6875,28.75,30.5,137.5625,28.8125,16.6875,161.3125,1,0.75,2.4375,13.625,47.8125,29.77625,46.175,22.5,19,36.6875,29.375,135.9375,30.6875,18,213.3125,0.625,0.6875,2.3125,13.75,41.5625,29.883125
"N",-3,42.5,"LOSE","OKAY",24.375,18.625,35.25,29.8125,164.0625,30.375,18.1875,169.3125,1.0625,0.75,2.1875,12.75,48.75,28.173125,45.9,24.0625,22.6875,39.4375,26.3125,109.25,40.1875,25.625,264.25,0.9375,0.8125,2.5625,16.0625,61.4375,31.426875
"V",-3,50,"LOSE","FUN",33.375,26.125,47.75,32.3125,138.9375,40.625,24.75,279.4375,0.625,0.5625,1.6875,11.5,49.5625,30.6875,44.4625,18.8125,20.4375,39.1875,26.75,109.125,36.75,21.8125,257.5625,1.375,1.3125,2.5625,15,57.3125,28.9375
"V",-4.5,44,"WIN","BORING",24.3125,19.6875,38.625,24.0625,105.875,33.5625,19.5,232.4375,1.3125,0.5625,1.625,11.25,35.4375,27.848125,47.5625,24.625,20.9375,44.1875,29.9375,135.75,35.1875,22.875,252.625,1.0625,0.875,1.875,13.25,60.1875,31.751875
"V",-3.5,40.5,"WIN","BORING",15.9375,18.625,34.1875,31.5625,125.0625,31.0625,17.3125,183.125,1.375,1.1875,3.3125,21.1875,48.875,30.700625,45.91875,21.875,16.75,31.25,29.5,120.6875,31.6875,16.3125,184.4375,0.5,0.6875,2.4375,14.1875,51.125,28.96
"H",-4,46,"WIN","BORING",17.875,18.125,35.1875,25.3125,104.9375,36.5625,21.9375,240.0625,1,0.625,1.875,14.4375,62.1875,29.891875,47.58125,26.375,19.0625,38.4375,27.5625,117.0625,32,21.5,232.125,0.6875,0.5,2,14,55.375,29.733125
"V",-11.5,59,"WIN","BORING",19.5,20.9375,36.5,26,131,36.5625,21.8125,231.5,0.6875,1.3125,3.125,18.625,47.9375,27.98375,44.775,29,21.8125,43.875,30.5625,128.625,32.1875,20.5625,245.0625,0.3125,0.4375,2,12.25,65.1875,31.61625
"N",3,42.5,"WIN","FUN",18.8125,18.25,35.375,24.375,93.5625,35.3125,21.1875,231.875,1.0625,1.1875,2.375,15.375,52.0625,30.10625,43.03125,19.6875,16.9375,32.6875,26.5625,93.3125,33.1875,18.875,183.75,0.5625,0.5,2.1875,11.4375,57.125,29.49375
"H",-1.5,48,"LOSE","FUN",22.8125,18.875,37,25.8125,92.0625,32.8125,21.1875,213.0625,0.8125,0.75,3,19.25,49.5,30.57375,46.4,23.75,20.8125,41.875,26.625,108.125,35.6875,21.875,249.25,0.8125,0.8125,2.4375,16.5,59.6875,29.035625
"V",2,41,"LOSE","BORING",27.5625,20.1875,41.1875,33.875,159.5625,25.6875,16.875,211.8125,0.6875,0.5625,2.1875,12.75,53.375,31.699375,43.9125,14.5625,17.6875,34.6875,23.8125,109.875,33.625,19.0625,190.5625,1.3125,1,2.125,15.375,52.375,27.984375
"H",2.5,40,"WIN","BORING",22.6875,18.8125,37.5,25.8125,117.1875,36.25,19.5625,253.75,1.0625,0.4375,1.6875,10.25,59.375,29.42125,45.3125,24,20.8125,40.75,24.8125,94.125,39.0625,25.375,275.1875,1,0.4375,2.0625,15.9375,47.375,30.229375
"H",3.5,40.5,"LOSE","BORING",20.1875,16.6875,38.3125,27.3125,123.1875,32,18.5,189.6875,0.875,0.5625,2.75,18.125,60.75,28.620625,47.275,25.875,20.5,37.0625,27.6875,118.0625,34.4375,21.9375,227.75,1.3125,0.375,2.625,16.5,43.5625,31.015
"V",4,46,"LOSE","BORING",25.25,21.25,36.625,29.375,154.3125,30.75,19.9375,229.5625,0.6875,0.4375,1.875,13.8125,56.25,29.99125,42.29375,24.0625,21.75,44.0625,24.625,107.5625,39.375,24.8125,281.125,1.125,0.5625,2.125,15,46.25,29.60875
"V",-7.5,49,"WIN","BORING",18.5625,17.5625,38.3125,25.0625,91.8125,31.8125,19.375,210.3125,0.6875,0.8125,2.875,17,40.625,28.063125,50.00625,19,20.5625,35.75,26.125,116.625,38.125,22.625,239.8125,0.75,0.4375,3,17.1875,61.8125,31.561875
"H",7.5,49,"LOSE","BORING",28,22.0625,44.125,24.1875,97.25,41.3125,26.8125,318.6875,1.125,0.25,1.8125,12.8125,53.625,30.2775,48.4,24.375,22.3125,37,24.4375,128.125,37.9375,22.6875,277.9375,1.125,0.625,2,13.9375,49.3125,29.34375
"V",-4,41,"WIN","BORING",19.8125,19,34.875,29.125,137.0625,32.25,19.4375,196.375,0.8125,1.0625,2.3125,13.3125,63.1875,29.28,43.7875,24.8125,21.1875,42.125,29.5625,142.125,34.8125,19.125,218.9375,1.0625,0.4375,2.4375,13.5625,53.25,30.32
"H",4,41,"LOSE","BORING",18.3125,17.625,31.3125,25.0625,99.5,36.375,21.375,217.8125,1.0625,0.4375,2.75,19.3125,60.0625,28.493125,41.95625,21.25,20.75,39.4375,28.1875,109.0625,36.6875,23.0625,226.8125,0.875,0.875,2.4375,15.3125,52.9375,31.106875
"H",-3,42.5,"LOSE","BORING",14.25,16.1875,24.1875,21.125,77.9375,39.125,21.5,197.4375,1.5,0.75,3.375,21.875,51.5625,28.486875,45.775,24.0625,18.1875,33.4375,30.875,130.5,31.375,17.8125,203.3125,1.375,0.5,1.8125,11.4375,51.125,31.113125
"V",-2.5,43,"LOSE","OKAY",23,18.375,37,27.75,106.375,35.625,20.625,219.5,0.9375,0.3125,2.5625,17.25,64.8125,28.0375,48.36875,21.75,18.8125,34.8125,30.8125,125.875,33.1875,20.0625,213.9375,0.75,0.6875,2.5625,17.875,61.6875,31.5625
"V",3,42.5,"WIN","OKAY",23.3125,21,43.375,30.75,140.75,30.75,17.5,211.9375,0.5625,0.625,2.375,16.8125,51.375,30.999375,43.7125,20,19.3125,33.625,24.9375,101.375,34,22.625,219.625,0.75,0.9375,2.75,20.875,50.875,28.625625
"H",-1.5,51.5,"WIN","FUN",24.625,18.125,33.9375,28.1875,125.75,32.25,19.6875,196,1,0.625,2.3125,15.9375,48.5625,31.048125,41.96875,20.1875,18,37.5625,26.1875,111.4375,35.3125,21.0625,221,1.1875,1.5625,2,14.375,48.375,28.551875
"H",-1,45.5,"LOSE","BORING",22.5,17.6875,37.3125,25.875,102.5,35.0625,21.4375,214.75,1,0.75,2.5625,11.875,54.25,30.088125,46.075,18.0625,18,36,26.8125,98.5625,35.875,21.5625,213.25,1.0625,1,2.6875,18.5625,47,29.511875
"H",-9,57.5,"WIN","FUN",25.9375,21.6875,41.25,22.8125,87.6875,40.5625,27.125,281.0625,0.75,0.6875,2.3125,17.0625,48.5625,30.820625,44.925,24.8125,21,39.1875,25.375,117.625,36,23,264,0.625,0.625,2.4375,14.75,49.1875,28.804375
"V",9,57.5,"LOSE","FUN",34.125,25,47,30.5,117.0625,37.0625,26.375,304.8125,0.5,0.9375,1.125,7,50.8125,31.4225,45.10625,18.5625,18.5,27.375,24.5,87.75,37,21.1875,223.625,1.25,0.4375,3.3125,22.625,57.8125,28.1775
"V",-9.5,55,"WIN","BORING",24.625,23.1875,39.5,24.875,102.1875,44.375,26.3125,304.6875,1,1.125,1.4375,10.75,60.75,31.023125,43.3125,26.5,19.8125,33.5625,25.3125,120.0625,36.5625,22.75,236.8125,1.1875,0.375,2.125,15.5,44.375,28.576875
"H",9.5,55,"LOSE","OKAY",29.5,22.3125,41.25,27.6875,115.6875,35.25,23.5,271.9375,0.5625,0.6875,2.8125,17.25,50.25,29.76875,42.39375,23.125,20,39,25.5625,110.5625,37.5625,21.5625,253.0625,1,0.5,2.625,15.75,63.25,29.83125
"V",-4.5,44,"WIN","BORING",23.75,22.0625,34.625,29.625,132.125,37.9375,24.1875,249.9375,1.125,0.25,2.25,17.9375,63.375,32.138125,46.9375,23.75,17.8125,34.375,26.3125,103.25,34.4375,18.4375,215.3125,0.75,0.6875,2.75,15.9375,52.5,27.461875
"H",-3,44,"LOSE","BORING",23.1875,22.5,42.8125,28.5625,117.4375,36.375,20.4375,242.5,0.9375,0.4375,2.625,15.0625,39.8125,30.949375,46.85625,20.5,19.5625,37.4375,25.9375,130.75,33.3125,20.4375,230.0625,1,0.25,2.0625,11.5625,66.4375,28.66125
"V",-11,41,"WIN","OKAY",14,16.5,29.25,21.5625,70.8125,38.75,21.375,220.875,1.4375,0.4375,3.5,21.6875,60.3125,27.23,46.61875,29.75,22.5625,40.875,33.1875,144.5,32.625,20.875,231.5625,0.75,0.6875,1.625,10,42.8125,32.37
"V",3,38.5,"LOSE","OKAY",14.0625,16.4375,29.75,30.875,136.5,28.75,16.6875,164.6875,0.9375,0.625,2.375,12.5625,46.6875,30.359375,45.73125,20.625,18.5,35.5625,28.5625,135.5625,31.5625,18,214,0.625,0.8125,2.3125,13.5625,40.9375,29.290625
"H",2.5,43,"WIN","OKAY",18.3125,17.4375,38,24.4375,93.625,31.4375,19.125,199.1875,0.75,0.75,2.875,16.75,39.6875,27.735,50.48125,19.875,20.8125,37.0625,26.75,118.8125,37.5625,22.6875,248.125,0.625,0.5,2.5625,14.4375,60.75,31.89
"V",1,45.5,"WIN","BORING",32,25.375,48.875,31.75,131.75,40.3125,24.625,278.375,0.625,0.4375,1.625,11.0625,54.75,30.6825,45.4,18.5,20.875,38.5625,26.0625,106.8125,37.6875,22.5625,261.25,1.1875,1.1875,2.4375,15.75,59.6875,28.9425
"V",1.5,51.5,"LOSE","FUN",28.6875,21.9375,43.6875,24.5,98.6875,40.375,26.5,316.6875,1.125,0.3125,1.8125,12.75,51.9375,30.485,49.15,23.6875,21.625,35.9375,24.0625,128.9375,37.5625,22.125,271.5,1.25,0.625,2.25,16,48.1875,29.13625
"H",1.5,54,"WIN","OKAY",23.6875,19.125,37.8125,24.1875,108.4375,33.25,19.125,225.625,1.3125,0.6875,1.8125,12.3125,36.0625,27.70125,47.8875,25.375,20.875,45.625,29.4375,130.1875,35.875,23.1875,256.1875,1.1875,0.9375,1.8125,12.625,61,31.89875
"H",-5,47,"LOSE","BORING",18.375,18.25,36.5,25.9375,107.9375,36.4375,22.0625,240.875,1.0625,0.6875,2.125,15.1875,61.1875,30.5075,47.30625,25.5625,18.375,36.4375,27.1875,114.375,31.5,20.75,224.5625,0.6875,0.5,2.0625,14.625,55.3125,29.1175
"V",-1.5,54,"LOSE","OKAY",19.5625,20.875,37.5625,25.9375,130.25,36.625,21.6875,234.0625,0.6875,1.3125,3.1875,19.5625,48.75,27.55625,44.88125,31.1875,22.75,46.5625,31.4375,133.875,31.875,20.9375,246.4375,0.25,0.4375,2.0625,12.625,63.3125,32.04375
"V",5,47,"WIN","FUN",22.375,19.375,38.0625,25.375,92.5625,34,22.25,225.875,0.8125,0.75,2.875,18.4375,50.125,30.60375,45.5375,23.8125,20.5625,41.4375,26.25,106.4375,35.375,22.0625,248.6875,0.625,0.6875,2.5,16.625,56.75,29.02125
"H",4.5,44,"LOSE","BORING",23.25,18.6875,35.0625,30.375,146.6875,27.4375,17.5625,211.375,0.6875,0.625,2.4375,15.0625,65.25,30.099375,48.9875,18.9375,18.375,31.5625,27.125,101.625,34.3125,19.875,198.375,0.875,0.5,2.625,18.25,49.625,29.560625
"V",3,44,"WIN","BORING",28.1875,19.9375,41.125,33.625,159.5625,25.5625,16.5625,208.75,0.5625,0.625,2.375,13.5,53.8125,31.441875,43.7375,14.625,18.5625,34.5,24.375,114.625,34.75,19.9375,197.6875,1.375,1.0625,2.1875,16.5,55.4375,28.241875
"H",11,41,"LOSE","BORING",18.0625,18.5625,28.75,24.125,96.3125,38.375,22.5625,236.375,0.8125,0.5625,2,13.1875,63.1875,28.488125,46.1875,23.625,20.3125,40.4375,27.6875,117.0625,34,22.9375,235.1875,0.625,0.5,3.4375,21.125,50.8125,31.171875
"H",-3,38.5,"WIN","OKAY",21.6875,16.6875,39.75,27.4375,118.1875,32.3125,18.75,194.5,0.75,0.5,2.625,17.3125,58.0625,28.816875,46.9875,24.3125,20.5,36.3125,27.1875,117.8125,34.8125,22.125,230.0625,1.4375,0.5,2.9375,19.625,47.5,30.81875
"H",10.5,45,"WIN","FUN",24.3125,21.0625,42.6875,22.3125,83.375,40.0625,27.1875,294.0625,0.9375,0.375,1.5,11.375,30.4375,30.351875,47.21875,20.4375,18.4375,40.4375,24.5,109.6875,35.875,22.375,265.875,1,0.4375,1.625,11.25,40.9375,29.248125
"V",-10.5,45,"LOSE","BORING",16.75,19.0625,35.1875,32,127.625,31.3125,17.875,192.125,1.4375,1.125,3.375,23.25,51.125,31.086875,46.29375,22.125,16.1875,32.6875,28.6875,110.25,32.3125,16.875,191.3125,0.5,0.6875,2.4375,14.4375,48.8125,28.57375
"H",8.5,48,"LOSE","OKAY",23.1875,17.75,32.75,27.25,118.25,31.875,19.75,199.3125,0.9375,0.6875,2.4375,16.75,46.25,30.299375,42.21875,21.625,18.4375,37.5625,26.875,111.8125,35.4375,21.8125,230.5,1.0625,1.5,1.9375,14,45.9375,29.300625
"V",-8.5,48,"WIN","OKAY",22.4375,18.5625,36.75,23.125,96.5625,34.1875,19.0625,230.0625,1.4375,0.6875,1.875,12.5625,43,27.216875,47.83125,25.9375,21.6875,47,30.5625,133.6875,36.125,23.1875,256.6875,1.0625,0.875,1.875,12.8125,60.8125,32.383125
"V",-10.5,41,"WIN","FUN",15.4375,16.125,23.9375,21.8125,80.75,37.75,20.9375,192.625,1.6875,0.6875,2.9375,19.5625,51.25,28.134375,46.01875,23.375,18.75,34.25,30.125,129.5,32.5,18.6875,211.25,1.5,0.5625,2.1875,13.9375,52.3125,31.465625
"H",-2,48,"WIN","FUN",24.0625,18.6875,37.6875,28.75,106.375,35.9375,21,224.875,0.9375,0.3125,2.4375,17,66.75,28.70125,47.61875,22.8125,18.25,33.125,28.375,113.875,34.5625,20.625,223.1875,0.625,0.5625,2.9375,20.0625,62,30.89875
"H",-6,41,"WIN","BORING",21.125,19.625,35.5625,29.875,141.1875,33.125,19.625,200.9375,0.8125,1,2.5,13.9375,64.8125,29.523125,43.65,24.3125,20.5625,40.6875,29.1875,128.375,35,18.875,212,1.0625,0.375,2.75,15,54.0625,30.076875
"V",-2.5,44.5,"LOSE","BORING",21.9375,21,43.75,29.8125,134.25,31.625,17.875,215.25,0.75,0.625,2.625,19.3125,52.3125,31.0625,43.94375,19.5,19,33.3125,25.5,99.4375,33.25,22.25,210.5625,0.875,0.9375,2.4375,17.8125,51.8125,28.5625
"V",6,41,"LOSE","FUN",22.5,17.875,38.9375,27.125,107.625,34.0625,21.0625,212.3125,0.9375,0.75,2.625,12.9375,55.0625,30.281875,46.40625,17.375,18,34.5625,25.6875,100.125,36.625,21.625,209.75,1.125,0.9375,2.875,20.4375,46.375,29.318125
"H",-2.5,43.5,"WIN","OKAY",18.9375,17.875,32.3125,25.875,99.9375,35.9375,20.9375,212.0625,0.9375,0.375,3.0625,20.75,58.5,28.986875,41.8375,20.1875,20.125,37.9375,28,103.5625,36.875,22.6875,222.375,0.875,0.8125,2.6875,16.625,54.875,30.613125
"H",5.5,51.5,"LOSE","BORING",27.125,21.3125,42.125,21.0625,76.75,40.5625,27.125,294.6875,0.75,0.75,2.5,18.875,48.5,30.023125,46.2375,26.0625,21.9375,39.75,25.9375,118.6875,37,24,275.5,0.6875,0.6875,2.375,14.5,47.875,29.601875
"H",26.5,52,"LOSE","OKAY",36,25.75,47.9375,31.1875,119.125,36.9375,26.5,309.9375,0.5625,0.8125,1,6.1875,52.9375,31.938125,NA,19.625,17.8125,27.5,22,75.3125,37.3125,21.3125,240.9375,1.3125,0.4375,3.3125,23,59.1875,27.661875
"V",2.5,43.5,"LOSE","OKAY",23.5625,22.8125,41,24.3125,97.5625,44.0625,26.5,299.125,0.9375,1.125,1.75,13.25,55.625,30.964375,43.875,26.4375,19.3125,33.375,25.5625,126.875,35.5625,22.25,235.75,1.0625,0.3125,2,14.25,45.125,28.635625
"V",2,48,"LOSE","FUN",29.125,21.4375,40.875,28.1875,120.5625,34.5625,22.8125,268.8125,0.5,0.625,2.875,17.5625,52.0625,29.938125,42.76875,22,19.625,38.625,25.5625,111.75,36.6875,20.9375,240.125,1,0.5,2.8125,17.1875,61.875,29.661875
"H",9,42.5,"WIN","BORING",22.5,22,34.5,29.3125,129.75,38.6875,24.6875,248.25,1.25,0.3125,2.3125,18.3125,63.5,32.03125,47.55,24.8125,17.9375,34.8125,27.125,110,33.375,17.9375,208.4375,0.625,0.6875,2.625,15.5,52,27.56875
"V",-26.5,52,"WIN","OKAY",15.0625,16.875,28.4375,22.0625,73.0625,38.6875,21.3125,229.5,1.4375,0.4375,3.4375,21.0625,60.0625,27.281875,46.6125,29.3125,22.3125,39.8125,33.4375,140.25,32.25,20.5625,226.4375,0.6875,0.6875,1.6875,10.5625,41.125,32.318125
"H",7.5,41.5,"LOSE","BORING",15.3125,16.5,27.375,29.375,130.875,30.0625,17.1875,171.5,0.875,0.5625,2.5,13.3125,46.75,30.178125,45.15625,21.125,18.75,35.6875,28.4375,133.8125,32.4375,18.5,218.3125,0.6875,0.8125,2.25,13,41.0625,29.471875
"H",2.5,44.5,"WIN","BORING",25.25,18.6875,35.9375,29.625,165.1875,30.3125,18.1875,178.5625,1.0625,0.75,2.125,12.0625,48.875,27.8075,45.78125,24.9375,23.0625,40.375,26.375,110.625,40.1875,26,268.6875,1,0.8125,2.5625,15.625,60.0625,31.7925
"H",2.5,50,"LOSE","OKAY",30.4375,24.125,45.3125,29.5,121.1875,40.75,24.3125,276.6875,0.6875,0.4375,1.625,11.125,51.0625,30.051875,45.46875,18,20.8125,37.6875,27.25,112.5625,36.625,21.875,251.6875,1.25,1.0625,2.5625,17,62.0625,29.573125
"V",-2.5,50,"WIN","OKAY",28.375,21.6875,42.5625,24.9375,99.5,39.75,26.5,312.3125,1.0625,0.3125,1.75,12,46.375,30.87875,48.98125,23.3125,21.1875,36.375,24.0625,127.5,37,21.9375,273.375,1.1875,0.625,2.125,14.375,47.375,28.7425
"H",-1.5,41,"WIN","BORING",17.5625,19.0625,36.8125,31.9375,130.6875,30.5625,18,189.1875,1.3125,1.125,3.4375,24.25,51.0625,31.08125,46.43125,22.4375,16.6875,33.3125,27.875,103.6875,33.4375,18.3125,196.9375,0.4375,0.75,2.5625,15.1875,48.5625,28.579375
"V",-7.5,41.5,"WIN","BORING",18.8125,17.9375,36.1875,25.6875,105.125,35.8125,21.75,232.75,1,0.625,2.1875,15.0625,59.625,30.058125,47.3875,25.1875,19.0625,37.3125,27.4375,113.5625,32.25,21.5,233.9375,0.6875,0.625,2.125,15.375,55.625,29.566875
"V",3,44,"LOSE","FUN",20.9375,21.4375,38,26.8125,134.125,37.1875,21.8125,242.25,0.6875,1.1875,3.0625,19.3125,52.0625,27.919375,45.09375,31.5,22.6875,46.25,30.5625,128.6875,32.8125,21.125,254.125,0.4375,0.5,2.125,12.875,65.1875,31.680625
"V",1.5,41,"LOSE","OKAY",19.5,18.6875,36,23.75,89.875,36.1875,22.125,241.25,1.125,1.25,2.6875,17,48.5625,30.290625,42.375,20.9375,16.75,32.4375,26.6875,97.5,32.875,18.625,188.75,0.5625,0.375,2.0625,11,60.5,29.309375
"H",10.5,41,"LOSE","OKAY",22.5625,17.9375,33.3125,30.25,138.3125,26.8125,16.75,198.6875,0.6875,0.5625,2.5,15.4375,63,29.475625,48.50625,18.9375,18.8125,32.6875,27.8125,104.25,35.1875,20.25,202.5625,1,0.5,2.625,17.9375,51,30.184375
"H",11.5,41.5,"LOSE","OKAY",28.9375,20.1875,39.0625,33.5625,167.0625,25.9375,16.3125,208.3125,0.5,0.625,2.375,13.25,55.0625,31.180625,43.6,16,19,37,25,116.3125,34.75,20.1875,203.9375,1.375,1.0625,2.0625,15.75,56.0625,28.503125
"V",-9,42.5,"LOSE","BORING",19.125,19.1875,29.5625,24.375,98.3125,39.1875,23.3125,241.1875,0.75,0.5625,2.0625,13.4375,62.75,29.09875,45.18125,24.6875,20.0625,39.6875,28.1875,120.25,32.875,22.1875,237.0625,0.75,0.5,3,18.0625,51.4375,30.56125
"H",-3,44,"WIN","OKAY",21.9375,19.0625,38.375,26.625,117.1875,36.5,19.5625,246.25,1.125,0.5,1.75,11.125,57.25,29.836875,44.93125,23.3125,20.1875,40.25,24.1875,87.625,39.25,25.0625,270.5625,1.125,0.5,2,15.875,48.4375,29.81375
"V",-11.5,41.5,"WIN","BORING",22.3125,16.75,38.625,27.625,121.5,31.875,18.25,195.6875,0.8125,0.5,2.6875,16.9375,55.5625,28.9375,47.15,24.0625,20.1875,35.125,26.875,114.375,35.0625,21.8125,228.5,1.375,0.5625,3,20.375,47.5625,30.698125
"V",-5.5,51.5,"WIN","BORING",25.25,20.5,37.4375,29.5,151.9375,30.5,19.4375,223.5,0.6875,0.5,1.8125,13.875,53.5,29.69125,41.89375,23.5625,21.625,44.3125,25.125,109.0625,38.9375,24.625,274.9375,1.125,0.625,2.5,16.6875,41.125,29.90875
"V",0,50.5,"WIN","BORING",24.75,22.4375,44.75,29.375,121.875,35.375,20,239.25,0.8125,0.4375,2.5,14.9375,40.3125,31.08875,47.0875,20.0625,19.5,35.375,25.25,128.125,34.125,20.6875,237.1875,1.0625,0.3125,2.125,11.5,64.875,28.521875
